"cc_num","first_time_activity","last_time_activity"
"6.75946E+11","2019-01-01 11:05:00","2020-12-31 23:41:00"
"6.7591E+11","2019-01-03 10:43:00","2020-12-31 19:37:00"
"6.59789E+15","2019-01-01 03:37:00","2020-12-31 21:04:00"
"6.59725E+15","2019-01-01 08:10:00","2020-12-31 10:53:00"
"6.59674E+15","2019-01-03 07:27:00","2020-12-31 14:58:00"
"6.59597E+15","2019-01-01 14:34:00","2020-12-31 18:31:00"
"6.59394E+15","2019-01-01 05:19:00","2020-12-31 17:18:00"
"6.59325E+15","2019-01-01 01:14:00","2020-12-31 22:50:00"
"6.59286E+15","2019-01-01 12:18:00","2020-12-31 19:27:00"
"6.59224E+15","2019-01-01 11:31:00","2020-12-31 22:47:00"
"6.59207E+15","2019-01-01 03:10:00","2020-12-31 08:32:00"
"6.57778E+15","2019-12-07 13:49:00","2019-12-08 23:24:00"
"6.57356E+15","2019-01-01 02:35:00","2020-12-31 18:14:00"
"6.5691E+15","2019-01-03 19:30:00","2020-12-31 17:39:00"
"6.56446E+15","2019-01-01 12:55:00","2020-12-31 11:19:00"
"6.55425E+15","2019-01-01 05:07:00","2020-12-31 17:13:00"
"6.5504E+15","2019-01-04 06:11:00","2020-12-31 21:27:00"
"6.54767E+15","2019-01-01 14:14:00","2020-12-31 20:40:00"
"6.54473E+15","2019-01-01 09:26:00","2020-12-31 23:32:00"
"6.54098E+15","2019-01-01 08:55:00","2020-12-31 23:24:00"
"6.53965E+15","2019-01-01 17:33:00","2020-12-31 09:24:00"
"6.53889E+15","2019-01-01 10:00:00","2020-12-31 22:42:00"
"6.53844E+15","2019-01-01 14:14:00","2020-12-31 23:00:00"
"6.53533E+15","2019-01-05 06:15:00","2020-12-31 19:14:00"
"6.53463E+15","2019-01-01 01:01:00","2020-12-31 20:50:00"
"6.52891E+15","2019-01-01 07:05:00","2020-12-31 20:52:00"
"6.52696E+15","2019-01-04 09:19:00","2020-12-31 16:48:00"
"6.52678E+15","2019-01-01 11:44:00","2020-12-29 09:02:00"
"6.52645E+15","2019-01-01 14:36:00","2020-12-31 00:38:00"
"6.52438E+15","2019-01-02 06:52:00","2020-12-31 16:53:00"
"6.52318E+15","2019-01-01 18:37:00","2020-12-30 18:17:00"
"6.51778E+15","2019-12-23 05:14:00","2019-12-24 23:24:00"
"6.51722E+15","2019-01-01 02:23:00","2020-12-31 21:23:00"
"6.51507E+15","2019-01-01 01:42:00","2020-12-31 20:54:00"
"6.51135E+15","2019-01-01 01:10:00","2020-12-31 23:01:00"
"6.50698E+15","2019-01-01 03:47:00","2020-12-31 10:08:00"
"6.50612E+15","2019-01-01 14:47:00","2020-12-31 19:30:00"
"6.5022E+15","2019-01-01 20:04:00","2020-12-31 22:55:00"
"6.50131E+15","2019-01-01 06:19:00","2020-12-31 03:37:00"
"6.50025E+15","2020-01-30 22:35:00","2020-01-31 23:57:00"
"6.39096E+11","2019-01-01 14:43:00","2020-12-31 07:04:00"
"6.39077E+11","2019-01-01 21:41:00","2020-12-31 17:18:00"
"6.39046E+11","2019-01-01 01:18:00","2020-12-31 10:31:00"
"6.3903E+11","2019-01-01 06:14:00","2020-12-31 21:55:00"
"6.39024E+11","2019-01-01 06:34:00","2020-12-31 20:06:00"
"6.30485E+11","2019-01-01 08:49:00","2020-12-31 22:58:00"
"6.30471E+11","2019-01-01 09:27:00","2020-12-31 18:07:00"
"6.30469E+11","2019-01-01 10:29:00","2020-12-31 22:20:00"
"6.30452E+11","2019-01-01 14:02:00","2020-12-31 22:56:00"
"6.30442E+11","2019-01-01 00:17:00","2020-12-31 17:07:00"
"6.30426E+11","2019-01-01 06:43:00","2020-12-31 18:51:00"
"6.30425E+11","2019-01-01 08:42:00","2020-12-31 19:07:00"
"6.30423E+11","2019-01-01 00:00:00","2020-12-31 23:17:00"
"6.30413E+11","2019-01-01 00:22:00","2020-12-31 23:15:00"
"6.012E+15","2019-01-01 00:09:00","2020-12-31 09:49:00"
"6.01198E+15","2019-01-01 06:25:00","2020-12-31 22:33:00"
"6.01195E+15","2019-01-01 13:55:00","2020-12-31 03:59:00"
"6.01194E+15","2019-12-15 00:23:00","2019-12-16 23:29:00"
"6.01193E+15","2019-01-01 04:04:00","2020-12-31 19:17:00"
"6.01192E+15","2019-01-01 09:53:00","2020-12-31 23:12:00"
"6.01189E+15","2019-01-01 01:00:00","2020-12-31 20:48:00"
"6.01186E+15","2019-01-01 00:10:00","2020-12-31 23:39:00"
"6.01183E+15","2019-04-28 00:41:00","2019-04-29 23:51:00"
"6.01173E+15","2019-03-15 03:55:00","2019-03-16 23:12:00"
"6.01172E+15","2019-01-01 15:28:00","2020-12-31 23:59:00"
"6.01171E+15","2019-01-01 15:29:00","2020-12-31 15:09:00"
"6.0116E+15","2019-01-01 07:23:00","2020-12-31 21:22:00"
"6.01169E+15","2019-01-01 16:44:00","2020-12-31 23:02:00"
"6.01168E+15","2019-01-01 10:16:00","2020-12-31 22:14:00"
"6.01165E+15","2019-01-01 10:09:00","2020-12-31 22:57:00"
"6.01163E+15","2019-01-01 07:34:00","2020-12-31 14:22:00"
"6.0115E+15","2019-01-01 01:37:00","2020-12-31 22:13:00"
"6.01158E+15","2019-01-01 18:57:00","2020-12-31 21:44:00"
"6.01155E+15","2019-01-01 02:12:00","2020-12-30 20:25:00"
"6.01154E+15","2019-01-01 07:38:00","2020-12-31 12:42:00"
"6.0114E+15","2019-01-01 16:31:00","2020-12-31 21:21:00"
"6.01149E+15","2019-01-01 01:15:00","2020-12-31 22:34:00"
"6.01148E+15","2019-01-01 19:22:00","2020-12-31 15:04:00"
"6.01144E+15","2019-01-01 04:24:00","2020-12-31 23:32:00"
"6.01139E+15","2019-01-01 01:26:00","2020-12-31 21:20:00"
"6.01138E+15","2019-01-01 06:12:00","2020-12-31 19:32:00"
"6.01137E+15","2019-01-01 01:46:00","2020-12-31 22:44:00"
"6.01136E+15","2019-01-01 00:05:00","2020-12-30 02:19:00"
"6.01135E+15","2019-01-01 10:11:00","2020-12-31 19:09:00"
"6.01133E+15","2019-01-01 19:09:00","2020-12-31 18:51:00"
"6.01131E+15","2019-01-01 15:31:00","2020-12-31 06:26:00"
"6.0112E+15","2019-01-03 00:00:00","2020-12-31 23:02:00"
"6.01125E+15","2019-01-03 08:12:00","2020-12-31 17:09:00"
"6.01123E+15","2019-01-01 02:48:00","2020-12-31 22:03:00"
"6.0111E+15","2019-01-01 01:34:00","2020-12-31 18:48:00"
"6.01115E+15","2019-01-01 05:40:00","2020-12-31 23:22:00"
"6.01111E+15","2019-01-01 07:23:00","2020-12-31 23:56:00"
"5.86101E+11","2020-09-23 18:34:00","2020-09-24 23:52:00"
"5.84674E+11","2019-01-01 10:12:00","2020-12-31 13:53:00"
"5.83699E+11","2019-01-01 15:38:00","2020-12-31 03:25:00"
"5.81686E+11","2019-01-01 03:00:00","2020-12-31 21:58:00"
"5.81508E+11","2019-01-01 07:32:00","2020-12-29 13:36:00"
"5.81293E+11","2019-01-01 07:57:00","2020-12-31 22:19:00"
"5.80954E+11","2019-01-01 10:08:00","2020-12-31 09:44:00"
"5.77891E+11","2019-02-07 06:11:00","2019-02-08 23:37:00"
"5.77589E+11","2019-01-01 18:52:00","2020-12-31 21:22:00"
"5.7386E+11","2019-01-01 09:11:00","2020-12-31 15:41:00"
"5.73284E+11","2019-01-01 23:26:00","2020-12-30 12:12:00"
"5.71844E+11","2019-01-01 03:51:00","2020-12-31 23:03:00"
"5.71465E+11","2019-01-01 00:56:00","2020-12-31 16:04:00"
"5.71365E+11","2019-01-01 01:02:00","2020-12-31 21:15:00"
"5.71314E+11","2019-01-03 12:53:00","2020-12-31 16:26:00"
"5.70273E+11","2019-01-02 05:10:00","2020-12-30 22:34:00"
"5.68279E+11","2019-01-01 10:37:00","2020-12-31 09:19:00"
"5.67868E+11","2019-01-01 17:03:00","2020-12-31 22:53:00"
"5.65399E+11","2019-01-01 15:35:00","2020-12-31 02:05:00"
"5.61943E+11","2019-01-01 06:17:00","2020-12-31 16:46:00"
"5.60881E+11","2019-01-01 23:26:00","2020-12-30 20:16:00"
"5.59635E+15","2019-01-01 06:21:00","2020-12-31 18:11:00"
"5.58056E+15","2019-01-02 14:36:00","2020-12-31 22:34:00"
"5.55986E+15","2019-01-01 00:07:00","2020-12-31 23:34:00"
"5.54064E+15","2019-01-01 21:09:00","2020-12-31 23:48:00"
"5.50108E+15","2019-01-01 05:26:00","2020-12-31 18:49:00"
"5.45678E+15","2019-01-01 00:59:00","2020-12-31 22:00:00"
"5.45671E+15","2019-01-01 03:15:00","2020-12-31 12:55:00"
"5.41006E+15","2019-01-11 21:21:00","2020-12-30 11:52:00"
"5.38866E+15","2019-01-01 05:55:00","2020-12-31 15:18:00"
"5.35954E+15","2019-01-01 06:21:00","2020-12-31 19:42:00"
"5.30165E+15","2019-03-25 00:51:00","2019-03-26 03:55:00"
"5.28929E+15","2019-01-01 13:35:00","2020-12-31 23:11:00"
"5.1549E+15","2019-01-01 12:39:00","2020-12-29 11:03:00"
"5.15205E+15","2019-01-01 16:34:00","2020-12-31 23:40:00"
"5.14404E+15","2019-04-03 02:07:00","2019-04-04 22:57:00"
"5.13048E+15","2019-01-01 14:22:00","2020-12-31 23:02:00"
"5.12741E+15","2019-01-01 12:43:00","2020-12-30 22:13:00"
"5.10481E+15","2019-01-01 01:19:00","2020-12-31 23:38:00"
"5.03874E+11","2019-01-01 04:34:00","2020-12-31 23:22:00"
"5.03851E+11","2020-07-08 02:05:00","2020-07-09 23:59:00"
"5.03848E+11","2019-01-01 10:30:00","2020-12-31 20:34:00"
"5.0205E+11","2019-01-01 11:23:00","2020-12-31 13:41:00"
"5.02038E+11","2019-01-01 08:29:00","2020-12-31 21:27:00"
"5.02013E+11","2019-01-01 01:30:00","2020-12-31 10:17:00"
"5.01899E+11","2019-01-01 07:57:00","2020-12-31 18:10:00"
"5.01895E+11","2019-07-13 01:26:00","2019-07-14 22:59:00"
"5.01883E+11","2019-01-01 01:31:00","2020-12-30 21:17:00"
"5.01851E+11","2019-03-24 01:25:00","2019-03-25 23:28:00"
"5.01831E+11","2019-01-01 05:10:00","2020-12-31 23:20:00"
"5.01828E+11","2019-01-01 06:53:00","2020-12-31 21:41:00"
"5.01803E+11","2019-01-01 03:12:00","2020-12-31 23:58:00"
"4.99811E+15","2019-01-01 02:08:00","2020-12-31 20:24:00"
"4.99773E+15","2019-01-01 02:01:00","2020-12-31 22:12:00"
"4.99626E+15","2019-01-01 12:35:00","2020-12-31 06:31:00"
"4.99235E+18","2019-01-01 02:34:00","2020-12-31 13:24:00"
"4.99049E+12","2019-01-01 15:16:00","2020-12-31 22:00:00"
"4.98985E+18","2019-01-02 13:15:00","2020-12-31 23:31:00"
"4.9883E+12","2019-01-01 03:15:00","2020-12-31 20:57:00"
"4.98693E+15","2019-01-04 15:44:00","2020-12-30 22:35:00"
"4.98113E+12","2019-01-01 01:00:00","2020-12-31 22:36:00"
"4.98032E+18","2019-01-02 07:45:00","2020-12-31 21:34:00"
"4.97942E+15","2019-01-01 01:23:00","2020-12-31 18:17:00"
"4.97546E+12","2019-09-13 00:00:00","2019-09-14 22:52:00"
"4.97353E+18","2019-01-03 12:31:00","2020-12-31 09:05:00"
"4.97223E+15","2019-01-02 01:03:00","2020-12-31 15:12:00"
"4.96986E+15","2019-01-01 02:21:00","2020-12-31 21:27:00"
"4.961E+15","2019-01-02 03:13:00","2020-12-30 23:50:00"
"4.95859E+18","2019-01-01 01:38:00","2020-12-30 16:02:00"
"4.95792E+12","2019-01-02 23:12:00","2020-12-31 13:36:00"
"4.95683E+18","2019-01-01 00:12:00","2020-12-31 18:11:00"
"4.95258E+15","2019-01-01 05:26:00","2020-12-31 18:16:00"
"4.95165E+15","2019-01-01 05:56:00","2020-12-31 22:19:00"
"4.93998E+15","2019-01-01 05:01:00","2020-12-31 21:14:00"
"4.93586E+15","2019-01-03 17:56:00","2020-12-31 15:59:00"
"4.93346E+15","2019-01-01 05:38:00","2020-12-31 22:53:00"
"4.92638E+15","2019-01-01 02:51:00","2020-12-31 21:04:00"
"4.92271E+15","2019-01-01 00:05:00","2020-12-31 23:50:00"
"4.91723E+12","2019-01-01 21:13:00","2020-12-31 13:01:00"
"4.91719E+15","2019-01-01 14:55:00","2020-12-31 22:06:00"
"4.9147E+15","2019-01-04 11:19:00","2020-12-31 13:04:00"
"4.91182E+18","2019-03-14 00:55:00","2019-03-15 22:52:00"
"4.90885E+15","2019-01-01 13:46:00","2020-12-31 23:01:00"
"4.90663E+18","2019-01-01 16:39:00","2020-12-31 22:00:00"
"4.90468E+15","2019-01-01 11:26:00","2020-12-31 23:39:00"
"4.90063E+12","2019-01-01 17:05:00","2020-12-31 23:31:00"
"4.89707E+18","2019-01-04 19:11:00","2020-12-31 16:24:00"
"4.89042E+18","2019-01-01 11:22:00","2020-12-31 23:10:00"
"4.88341E+12","2020-10-24 20:34:00","2020-10-25 23:06:00"
"4.87927E+15","2019-01-01 07:43:00","2020-12-31 15:19:00"
"4.87836E+15","2019-01-02 03:55:00","2020-12-30 19:06:00"
"4.87402E+15","2019-01-01 10:46:00","2020-12-31 13:09:00"
"4.87401E+15","2019-01-03 21:56:00","2020-12-31 15:36:00"
"4.87378E+15","2019-01-01 02:56:00","2020-12-31 18:27:00"
"4.86229E+12","2019-01-01 03:54:00","2020-12-31 21:38:00"
"4.86131E+18","2019-01-01 10:26:00","2020-12-31 20:16:00"
"4.85953E+15","2019-01-01 15:51:00","2020-12-31 21:42:00"
"4.85585E+18","2019-01-01 03:21:00","2020-12-31 21:20:00"
"4.85549E+18","2019-01-01 22:55:00","2020-12-31 22:43:00"
"4.84424E+12","2019-05-20 03:02:00","2019-05-21 23:14:00"
"4.84131E+15","2019-01-01 11:09:00","2020-12-31 23:53:00"
"4.83962E+15","2019-01-01 03:16:00","2020-12-31 19:07:00"
"4.83904E+15","2019-01-02 20:30:00","2020-12-31 18:42:00"
"4.837E+15","2019-01-01 05:27:00","2020-12-31 18:53:00"
"4.82666E+15","2019-01-01 02:28:00","2020-12-31 22:41:00"
"4.82402E+15","2019-01-02 05:04:00","2020-12-31 23:12:00"
"4.82237E+15","2019-01-01 16:35:00","2020-12-31 17:45:00"
"4.81084E+18","2019-01-01 15:24:00","2020-12-31 22:51:00"
"4.81079E+18","2019-01-01 12:47:00","2020-12-31 20:50:00"
"4.8097E+12","2019-01-01 14:33:00","2020-12-31 19:37:00"
"4.80755E+12","2019-01-01 06:28:00","2020-12-31 15:26:00"
"4.80644E+12","2019-01-05 22:08:00","2020-12-31 23:49:00"
"4.8004E+15","2019-01-02 06:39:00","2020-12-31 23:30:00"
"4.79894E+18","2019-01-01 05:36:00","2020-12-31 21:32:00"
"4.7973E+18","2019-01-01 04:25:00","2020-12-31 19:13:00"
"4.79263E+18","2019-01-01 13:31:00","2020-12-31 15:56:00"
"4.78991E+15","2019-01-01 00:29:00","2020-12-31 21:23:00"
"4.7881E+12","2019-01-01 14:47:00","2020-12-31 14:01:00"
"4.78323E+12","2019-01-01 07:23:00","2020-12-31 11:42:00"
"4.77707E+15","2019-01-01 08:14:00","2020-12-31 23:27:00"
"4.76943E+18","2019-01-01 03:35:00","2020-12-31 21:33:00"
"4.76727E+15","2019-01-01 00:04:00","2020-12-31 18:04:00"
"4.7642E+15","2019-01-01 22:22:00","2020-12-31 14:25:00"
"4.7614E+18","2019-01-01 02:22:00","2020-12-31 18:39:00"
"4.76012E+12","2019-01-03 03:11:00","2020-12-30 15:47:00"
"4.75604E+18","2019-01-01 06:09:00","2020-12-31 05:58:00"
"4.7557E+12","2019-01-01 13:25:00","2020-12-31 23:17:00"
"4.746E+12","2019-01-01 02:29:00","2020-12-31 22:53:00"
"4.74288E+18","2019-01-01 05:44:00","2020-12-31 23:20:00"
"4.74071E+15","2019-01-01 02:10:00","2020-12-31 18:46:00"
"4.73685E+18","2019-01-01 05:43:00","2020-12-31 23:00:00"
"4.73431E+15","2019-01-31 02:09:00","2019-02-01 23:54:00"
"4.72724E+15","2019-01-01 04:07:00","2020-12-31 19:24:00"
"4.72584E+18","2019-01-01 00:40:00","2020-12-31 19:27:00"
"4.72567E+15","2019-01-01 19:36:00","2020-12-31 19:57:00"
"4.71656E+15","2019-01-01 00:45:00","2020-12-31 23:42:00"
"4.71574E+18","2019-01-01 08:14:00","2020-12-31 19:16:00"
"4.71402E+18","2019-02-12 00:09:00","2019-02-13 23:39:00"
"4.71346E+15","2019-01-03 06:51:00","2020-12-31 13:38:00"
"4.71083E+18","2019-01-01 02:38:00","2020-12-31 18:38:00"
"4.71079E+15","2019-01-01 02:58:00","2020-12-31 19:37:00"
"4.70899E+15","2019-01-01 09:41:00","2020-12-31 13:35:00"
"4.70787E+15","2019-01-01 00:48:00","2020-12-31 14:41:00"
"4.69816E+15","2019-01-04 10:51:00","2020-12-31 16:09:00"
"4.68915E+18","2019-01-01 22:49:00","2020-12-31 13:46:00"
"4.68726E+12","2019-01-01 00:58:00","2020-12-31 22:00:00"
"4.68364E+12","2019-01-01 01:32:00","2020-12-31 22:14:00"
"4.68352E+15","2019-01-01 01:09:00","2020-12-31 22:16:00"
"4.68274E+15","2019-01-02 02:57:00","2020-12-31 11:14:00"
"4.6817E+12","2019-01-01 02:49:00","2020-12-31 23:09:00"
"4.6816E+15","2019-01-01 08:59:00","2020-12-31 21:49:00"
"4.67173E+15","2019-01-01 04:14:00","2020-12-31 09:03:00"
"4.67061E+15","2019-01-02 21:49:00","2020-12-30 16:50:00"
"4.66956E+15","2019-02-09 01:24:00","2019-02-10 23:41:00"
"4.66631E+18","2019-01-01 00:49:00","2020-12-31 20:17:00"
"4.662E+18","2019-01-01 05:35:00","2020-12-31 15:27:00"
"4.65963E+18","2019-03-14 01:38:00","2019-03-15 23:31:00"
"4.65849E+15","2019-01-01 03:10:00","2020-12-31 15:37:00"
"4.65812E+12","2019-01-01 18:00:00","2020-12-31 15:57:00"
"4.65727E+15","2019-01-02 08:27:00","2020-12-31 06:47:00"
"4.65388E+15","2019-01-01 01:47:00","2020-12-31 23:32:00"
"4.65318E+18","2019-01-01 10:15:00","2020-12-31 22:27:00"
"4.65101E+15","2019-01-02 10:49:00","2020-12-31 15:18:00"
"4.64685E+18","2019-01-01 01:59:00","2020-12-31 18:10:00"
"4.64289E+12","2019-01-01 00:06:00","2020-12-31 21:38:00"
"4.64226E+15","2019-01-01 00:31:00","2020-12-31 23:35:00"
"4.6404E+12","2019-01-01 06:38:00","2020-12-31 22:35:00"
"4.63533E+15","2019-01-01 12:24:00","2020-12-31 18:56:00"
"4.63496E+15","2019-01-01 10:22:00","2020-12-31 20:53:00"
"4.63307E+15","2019-01-01 14:49:00","2020-12-31 11:07:00"
"4.62945E+15","2019-01-01 16:59:00","2020-12-31 22:48:00"
"4.62913E+12","2019-12-29 11:03:00","2019-12-30 22:53:00"
"4.62356E+12","2019-01-01 02:00:00","2020-12-31 20:52:00"
"4.61331E+12","2019-01-01 12:51:00","2020-12-31 23:17:00"
"4.61006E+15","2019-01-05 06:31:00","2020-12-29 21:34:00"
"4.61005E+15","2019-01-01 15:41:00","2020-12-31 23:51:00"
"4.60707E+15","2019-01-01 01:28:00","2020-12-31 18:31:00"
"4.6059E+12","2019-01-01 13:59:00","2020-12-31 05:55:00"
"4.60164E+12","2019-01-01 13:57:00","2020-12-31 20:18:00"
"4.60016E+12","2019-01-04 09:58:00","2020-12-31 01:30:00"
"4.5E+12","2019-01-01 10:42:00","2020-12-31 17:40:00"
"4.59974E+18","2019-01-01 00:22:00","2020-12-31 02:43:00"
"4.59929E+15","2019-01-01 07:47:00","2020-12-31 14:18:00"
"4.59803E+12","2019-11-02 00:45:00","2019-11-03 23:29:00"
"4.59357E+12","2019-02-25 00:34:00","2019-02-26 01:55:00"
"4.58766E+18","2019-01-01 03:04:00","2020-12-31 22:54:00"
"4.58758E+15","2019-01-01 22:15:00","2020-12-31 23:12:00"
"4.58681E+15","2019-01-01 04:39:00","2020-12-31 20:40:00"
"4.58626E+12","2019-01-01 03:01:00","2020-12-31 18:12:00"
"4.58513E+12","2019-01-01 06:32:00","2020-12-31 18:13:00"
"4.58493E+18","2019-01-01 11:06:00","2020-12-31 17:32:00"
"4.57064E+15","2019-01-03 16:56:00","2020-12-31 23:33:00"
"4.56E+18","2019-01-01 02:14:00","2020-12-31 20:49:00"
"4.56283E+12","2019-01-05 18:28:00","2020-12-31 14:12:00"
"4.56189E+12","2019-01-01 02:47:00","2020-12-31 18:46:00"
"4.56155E+12","2019-01-01 10:14:00","2020-12-31 22:02:00"
"4.56137E+15","2019-01-01 15:55:00","2020-12-31 12:25:00"
"4.5604E+18","2019-01-01 03:12:00","2020-12-31 21:18:00"
"4.5551E+15","2019-01-03 08:14:00","2020-12-31 08:24:00"
"4.5506E+15","2019-01-01 17:31:00","2020-12-31 15:05:00"
"4.53857E+12","2019-01-01 02:01:00","2020-12-31 15:38:00"
"4.537E+18","2019-01-01 08:32:00","2020-12-31 23:39:00"
"4.51835E+15","2019-01-01 10:52:00","2020-12-31 06:39:00"
"4.51424E+15","2019-01-01 06:48:00","2020-12-31 17:39:00"
"4.51283E+18","2019-01-01 00:50:00","2020-12-31 22:33:00"
"4.50992E+15","2019-01-01 21:12:00","2020-12-31 21:45:00"
"4.50914E+15","2019-01-01 00:42:00","2020-12-31 22:00:00"
"4.50538E+12","2019-01-01 04:02:00","2020-12-31 08:34:00"
"4.5031E+18","2019-01-01 08:05:00","2020-12-31 06:47:00"
"4.50254E+18","2019-01-01 02:53:00","2020-12-31 15:15:00"
"4.50145E+15","2019-01-01 15:13:00","2020-12-31 18:56:00"
"4.49791E+18","2019-01-01 05:46:00","2020-12-31 23:22:00"
"4.49745E+18","2019-01-01 16:09:00","2020-12-31 23:22:00"
"4.49268E+15","2019-02-25 00:28:00","2019-02-26 23:25:00"
"4.49249E+15","2019-01-04 05:35:00","2020-12-31 23:23:00"
"4.48894E+15","2019-01-01 10:21:00","2020-12-31 20:05:00"
"4.48826E+18","2019-01-01 02:16:00","2020-12-31 23:01:00"
"4.48243E+15","2019-01-01 09:07:00","2020-12-31 22:10:00"
"4.48117E+18","2019-07-11 01:05:00","2019-07-12 23:08:00"
"4.48113E+12","2019-01-01 00:58:00","2020-12-31 21:15:00"
"4.47716E+18","2019-01-01 15:55:00","2020-12-31 13:33:00"
"4.47684E+12","2019-01-01 12:09:00","2020-12-31 21:13:00"
"4.47432E+15","2019-01-01 01:22:00","2020-12-31 07:16:00"
"4.47157E+12","2019-01-01 05:12:00","2020-12-30 11:13:00"
"4.46978E+18","2019-01-01 00:13:00","2020-12-31 20:52:00"
"4.46746E+18","2019-01-01 06:08:00","2020-12-31 10:10:00"
"4.46446E+12","2019-01-01 05:19:00","2020-12-31 18:40:00"
"4.46204E+18","2019-01-01 19:03:00","2020-12-29 14:39:00"
"4.45773E+18","2019-01-01 04:14:00","2020-12-31 21:28:00"
"4.45749E+12","2019-11-19 17:09:00","2019-11-20 23:01:00"
"4.45237E+15","2019-01-01 03:49:00","2020-12-31 23:37:00"
"4.45195E+15","2019-01-01 13:06:00","2020-12-31 20:19:00"
"4.45144E+15","2019-01-01 05:58:00","2020-12-31 19:38:00"
"4.45083E+15","2019-01-01 10:26:00","2020-12-31 23:32:00"
"4.44953E+15","2019-01-01 02:37:00","2020-12-31 23:44:00"
"4.44637E+15","2019-01-01 15:10:00","2020-12-31 20:33:00"
"4.44058E+12","2019-01-01 11:42:00","2020-12-29 20:45:00"
"4.43309E+15","2019-01-01 00:44:00","2020-12-31 05:27:00"
"4.43088E+15","2019-01-01 12:00:00","2020-12-31 16:01:00"
"4.42878E+18","2019-01-01 00:18:00","2020-12-31 15:36:00"
"4.42815E+15","2019-01-01 10:55:00","2020-12-31 23:23:00"
"4.42781E+12","2019-01-02 02:58:00","2020-12-31 20:23:00"
"4.42608E+18","2019-01-03 16:27:00","2020-12-30 05:11:00"
"4.42516E+15","2019-01-01 18:14:00","2020-12-31 14:00:00"
"4.42434E+15","2019-01-01 09:18:00","2020-12-31 23:28:00"
"4.42349E+15","2019-01-01 01:14:00","2020-12-31 05:35:00"
"4.41768E+15","2020-09-04 00:46:00","2020-09-05 23:41:00"
"4.41272E+15","2019-01-01 13:04:00","2020-12-31 09:55:00"
"4.41058E+18","2019-01-01 02:02:00","2020-12-31 10:34:00"
"4.40001E+18","2019-01-01 03:54:00","2020-12-31 20:40:00"
"4.39668E+12","2019-01-04 18:36:00","2020-12-31 18:59:00"
"4.39352E+12","2019-01-01 02:14:00","2020-12-31 20:41:00"
"4.39097E+18","2019-01-02 09:57:00","2020-12-31 04:21:00"
"4.38491E+15","2019-01-01 16:14:00","2020-12-31 23:40:00"
"4.38352E+12","2019-01-03 06:51:00","2020-12-31 20:15:00"
"4.37926E+18","2019-01-01 10:07:00","2020-12-31 21:20:00"
"4.37899E+15","2019-01-01 06:53:00","2020-12-31 18:17:00"
"4.37734E+15","2019-01-01 22:01:00","2020-12-31 19:13:00"
"4.37337E+18","2019-01-06 23:36:00","2020-12-29 05:09:00"
"4.36538E+15","2019-01-01 17:56:00","2020-12-31 09:57:00"
"4.36401E+15","2019-01-01 02:26:00","2020-12-31 20:56:00"
"4.35814E+18","2019-01-01 17:51:00","2020-12-31 22:51:00"
"4.35579E+18","2019-01-01 03:42:00","2020-12-31 23:00:00"
"4.35231E+18","2020-07-30 00:52:00","2020-07-31 23:07:00"
"4.34879E+15","2019-01-02 04:55:00","2020-12-31 04:54:00"
"4.34496E+15","2019-01-01 13:32:00","2020-12-31 04:11:00"
"4.34253E+15","2019-01-01 15:49:00","2020-12-31 14:06:00"
"4.33553E+15","2019-01-01 13:47:00","2020-12-31 19:38:00"
