"cc_num","top_3_merchant_amount","total_card_amount","top_3_concentration_pct"
"4.44058E+12","8104.08","45371.11","17.86"
"2.26494E+15","31870.85","182506.81","17.46"
"4.41272E+15","8590.25","50149.74","17.13"
"4.15801E+12","6417.26","37631.63","17.05"
"4.96986E+15","15854.17","96696.69","16.40"
"3.50137E+15","8773.06","53546.97","16.38"
"3.04342E+13","7130.17","43590.25","16.36"
"4.76727E+15","7298.14","45123.90","16.17"
"4.45083E+15","27704.60","172567.89","16.05"
"5.54064E+15","36165.18","229122.79","15.78"
"5.35954E+15","26855.50","170671.54","15.74"
"3.55485E+15","15260.22","99887.48","15.28"
"3.05411E+13","6267.79","41055.74","15.27"
"3.71009E+14","16673.32","109585.78","15.21"
"3.59233E+15","6364.49","42004.52","15.15"
"3.04913E+13","6861.42","45308.55","15.14"
"3.02353E+13","20471.74","135662.25","15.09"
"4.38352E+12","12706.91","84303.39","15.07"
"4.26006E+15","7661.98","50929.82","15.04"
"4.50254E+18","20111.42","133864.36","15.02"
"6.01123E+15","12945.30","86701.77","14.93"
"4.33553E+15","6275.59","42275.34","14.84"
"3.73213E+14","6359.47","43691.34","14.56"
"4.15876E+15","4963.96","34663.91","14.32"
"2.23119E+15","6036.36","42430.58","14.23"
"2.57671E+15","20331.47","143808.01","14.14"
"4.50992E+15","10712.13","76998.52","13.91"
"4.12977E+15","10865.59","78282.28","13.88"
"4.68726E+12","5655.98","40879.16","13.84"
"4.6059E+12","7229.41","52962.33","13.65"
"3.57554E+15","14903.29","111248.46","13.40"
"3.05465E+13","12772.11","95623.77","13.36"
"5.01883E+11","6483.68","48596.09","13.34"
"4.662E+18","10337.92","77737.89","13.30"
"5.28929E+15","4660.04","35060.81","13.29"
"2.28507E+15","10500.27","79121.64","13.27"
"3.7755E+14","13032.40","98617.14","13.22"
"3.5652E+15","12203.20","92798.27","13.15"
"4.80755E+12","5405.25","41172.48","13.13"
"6.30426E+11","17748.63","135922.50","13.06"
"6.52891E+15","11085.95","85326.64","12.99"
"4.97353E+18","12790.05","98648.95","12.97"
"4.22841E+15","4846.48","37457.72","12.94"
"6.75946E+11","12820.25","100013.09","12.82"
"3.46208E+14","6657.51","51988.66","12.81"
"2.24835E+15","11140.36","88020.03","12.66"
"60487002085","5097.62","40627.07","12.55"
"2.28875E+15","5838.28","46966.58","12.43"
"6.76282E+11","17695.54","142716.92","12.40"
"6.52645E+15","5334.22","43269.73","12.33"
"4.38491E+15","16574.85","134731.84","12.30"
"3.75768E+14","17511.00","143582.86","12.20"
"3.79141E+14","4842.63","40076.64","12.08"
"3.48254E+14","5591.57","46471.26","12.03"
"6.55425E+15","18321.19","152767.58","11.99"
"3.01437E+13","10690.29","90490.78","11.81"
"3.56268E+15","10629.32","90434.79","11.75"
"3.70819E+14","9915.20","84415.06","11.75"
"3.59636E+15","18784.61","160025.61","11.74"
"3.77835E+14","5131.13","43902.70","11.69"
"5.0205E+11","10169.55","87387.66","11.64"
"3.05965E+13","4351.91","37462.02","11.62"
"4.31213E+18","10046.84","86649.33","11.59"
"4.7973E+18","20870.42","180164.41","11.58"
"2.35812E+15","5977.07","51700.48","11.56"
"4.50538E+12","10364.78","89644.61","11.56"
"6.01148E+15","5579.76","48444.23","11.52"
"3.04077E+13","18658.05","163396.97","11.42"
"3.50151E+15","18187.91","159423.75","11.41"
"2.28624E+15","14872.53","130883.69","11.36"
"3.56826E+15","16755.74","148962.01","11.25"
"2.22216E+15","4096.96","36496.83","11.23"
"3.5305E+15","5202.95","46481.02","11.19"
"4.30659E+15","10188.29","91117.87","11.18"
"60423098130","4369.78","39197.22","11.15"
"5.55986E+15","14715.30","131990.62","11.15"
"3.56594E+15","5168.11","46374.58","11.14"
"4.63496E+15","16518.59","149410.90","11.06"
"4.18981E+12","4521.40","41107.64","11.00"
"3.566E+15","3918.53","35796.24","10.95"
"4.04851E+15","12929.98","118150.85","10.94"
"3.58574E+15","11039.43","100955.79","10.93"
"5.71314E+11","4374.27","40014.20","10.93"
"3.56384E+15","8245.22","75837.96","10.87"
"4.12454E+15","5537.61","51173.87","10.82"
"3.50017E+15","4587.73","43048.73","10.66"
"3.79897E+14","9099.01","85556.16","10.64"
"6.01158E+15","5108.89","48278.77","10.58"
"4.06714E+15","13035.33","123389.13","10.56"
"3.51329E+15","4364.25","41397.07","10.54"
"2.13137E+14","4745.74","45208.70","10.50"
"6.59224E+15","8925.33","85227.19","10.47"
"6.30452E+11","24836.58","237817.65","10.44"
"3.63605E+13","4425.52","42566.82","10.40"
"3.77265E+14","4814.07","46326.92","10.39"
"3.0446E+13","3343.47","32436.73","10.31"
"3.00424E+13","4021.24","39047.62","10.30"
"2.25623E+15","9175.78","89287.90","10.28"
"3.71034E+14","8633.74","84037.10","10.27"
"4.68352E+15","12882.18","126052.59","10.22"
"2.13157E+14","21365.25","209294.27","10.21"
"3.03603E+13","4387.60","42976.39","10.21"
"6.76308E+11","4233.74","41674.65","10.16"
"3.80575E+13","9868.04","97616.72","10.11"
"3.02429E+13","8359.18","83127.34","10.06"
"4.09971E+15","20701.24","207444.24","9.98"
"4.42516E+15","4425.07","44360.81","9.98"
"4.35814E+18","7207.56","72443.51","9.95"
"4.22622E+18","5638.89","56667.19","9.95"
"3.5824E+15","4382.31","44117.90","9.93"
"3.74656E+14","11392.49","114860.15","9.92"
"6.01169E+15","16663.24","168394.46","9.90"
"2.31806E+15","3745.89","37994.43","9.86"
"4.8004E+15","12379.62","125592.57","9.86"
"5.41006E+15","3702.05","37575.48","9.85"
"2.27491E+15","4371.64","44514.75","9.82"
"2.7195E+15","8615.33","87842.63","9.81"
"3.51106E+15","4212.60","42991.89","9.80"
"4.34253E+15","11710.54","119459.47","9.80"
"3.58275E+15","16693.99","170421.01","9.80"
"4.93346E+15","7481.33","76827.77","9.74"
"3.54086E+15","4262.57","43852.93","9.72"
"3.56226E+15","4446.75","45834.68","9.70"
"3.74822E+14","4132.26","42695.02","9.68"
"3.80144E+13","4299.47","44798.30","9.60"
"4.82237E+15","7257.90","75567.13","9.60"
"2.22982E+15","3736.85","39142.45","9.55"
"4.26E+12","7799.23","81767.70","9.54"
"6.5504E+15","8005.59","83900.21","9.54"
"4.2662E+15","8814.32","93096.63","9.47"
"4.98693E+15","4120.09","43496.20","9.47"
"3.47613E+14","3326.40","35231.85","9.44"
"4.87401E+15","3818.72","40448.41","9.44"
"6.0112E+15","3726.11","39587.08","9.41"
"4.60164E+12","8462.41","89926.34","9.41"
"4.37337E+18","3230.77","34352.81","9.40"
"5.01803E+11","11541.65","122745.37","9.40"
"4.85585E+18","4607.74","49071.04","9.39"
"4.95792E+12","7568.94","80592.08","9.39"
"4.82402E+15","3859.84","41118.07","9.39"
"3.55888E+15","7854.77","83758.51","9.38"
"4.102E+18","11113.68","118494.41","9.38"
"3.52823E+15","8455.02","90206.59","9.37"
"3.78905E+14","10042.37","107258.98","9.36"
"4.7642E+15","3594.24","38400.71","9.36"
"3.55258E+15","12070.36","129026.43","9.35"
"4.11027E+18","3178.99","34052.05","9.34"
"4.00399E+15","19162.38","205500.36","9.32"
"4.81084E+18","14406.37","154778.15","9.31"
"3.50194E+15","12477.40","134600.08","9.27"
"3.53682E+15","3719.24","40183.64","9.26"
"3.76657E+14","12383.85","133862.45","9.25"
"3.88595E+13","4038.39","43761.35","9.23"
"4.2554E+18","8260.26","89622.95","9.22"
"3.43746E+14","10939.74","119080.04","9.19"
"3.42952E+14","20508.63","224103.75","9.15"
"4.19847E+12","13525.35","147908.97","9.14"
"1.80059E+14","4378.34","48002.97","9.12"
"2.2608E+15","4664.15","51181.93","9.11"
"6.51507E+15","2981.42","32875.08","9.07"
"4.17395E+15","15966.22","176066.71","9.07"
"4.29274E+18","10013.55","110631.14","9.05"
"3.57651E+15","3090.36","34276.70","9.02"
"4.97223E+15","4136.81","45939.79","9.00"
"4.5031E+18","15722.95","174882.47","8.99"
"5.01828E+11","3818.66","42743.31","8.93"
"5.15205E+15","10208.47","114315.10","8.93"
"4.23944E+12","6494.72","72817.32","8.92"
"3.77993E+14","13377.82","150747.49","8.87"
"6.39096E+11","3346.91","37749.03","8.87"
"4.72567E+15","3839.80","43362.03","8.86"
"1.80069E+14","8154.62","92153.02","8.85"
"2.28374E+15","14051.46","158842.61","8.85"
"4.11655E+15","4107.07","46462.61","8.84"
"4.60016E+12","4037.42","45860.09","8.80"
"3.54155E+15","4678.01","53204.50","8.79"
"3.05612E+13","10550.33","120318.25","8.77"
"3.59798E+15","3423.03","39131.16","8.75"
"4.10431E+15","6890.03","78796.20","8.74"
"3.57766E+15","3730.96","42806.77","8.72"
"4.15502E+15","12723.69","146189.57","8.70"
"3.0267E+13","10013.94","115189.50","8.69"
"3.57614E+15","3349.08","38562.08","8.68"
"3.53692E+15","4143.62","47813.51","8.67"
"2.23534E+15","3576.34","41283.62","8.66"
"3.56753E+15","7794.95","89970.04","8.66"
"4.46446E+12","16226.69","187371.52","8.66"
"2.23561E+15","13178.46","152536.14","8.64"
"3.56637E+15","3452.72","40076.88","8.62"
"3.58309E+15","4485.31","52101.42","8.61"
"3.55661E+15","14279.21","165957.93","8.60"
"4.46204E+18","3418.82","39827.65","8.58"
"5.83699E+11","12371.38","144547.90","8.56"
"3.50418E+15","9697.25","113237.91","8.56"
"3.01814E+13","3209.57","37529.86","8.55"
"4.7557E+12","17020.13","199281.42","8.54"
"3.45832E+14","10847.73","127120.78","8.53"
"4.58758E+15","12653.83","149280.37","8.48"
"4.71079E+15","6449.40","76205.42","8.46"
"3.5378E+15","3702.85","43819.56","8.45"
"5.80954E+11","6778.51","80178.94","8.45"
"2.13112E+14","19417.90","229877.89","8.45"
"6.01195E+15","3592.16","42627.42","8.43"
"4.85953E+15","6752.04","80182.93","8.42"
"60416207185","9710.16","115524.18","8.41"
"3.59511E+15","3464.92","41206.86","8.41"
"3.59192E+15","9232.03","110142.75","8.38"
"4.19583E+15","2980.93","35774.89","8.33"
"4.48113E+12","6183.72","74476.45","8.30"
"6.5691E+15","3796.17","45760.90","8.30"
"2.61053E+15","5466.73","65896.40","8.30"
"4.04504E+18","7206.40","86960.48","8.29"
"3.56541E+15","3008.27","36330.71","8.28"
"3.71683E+14","3487.68","42167.69","8.27"
"4.65812E+12","6752.13","81682.66","8.27"
"5.01899E+11","10594.50","128756.85","8.23"
"5.12741E+15","3204.21","38935.67","8.23"
"1.8004E+14","4476.59","54484.42","8.22"
"3.59519E+15","16270.47","198088.89","8.21"
"2.30534E+15","10298.17","125402.96","8.21"
"5.73284E+11","3496.73","42644.97","8.20"
"4.91723E+12","3090.20","37717.29","8.19"
"3.70349E+14","7191.20","88178.82","8.16"
"4.17972E+15","3208.49","39338.06","8.16"
"4.04444E+18","4534.03","55586.92","8.16"
"4.56283E+12","6105.74","74814.11","8.16"
"4.25407E+15","7088.32","87046.89","8.14"
"3.72382E+14","10773.31","132497.54","8.13"
"4.2097E+18","3157.89","39101.68","8.08"
"3.59793E+15","6358.31","79121.28","8.04"
"3.03574E+13","3123.58","39007.30","8.01"
"6.01131E+15","6731.64","84163.41","8.00"
"3.42036E+14","3987.02","49927.84","7.99"
"3.54461E+15","3501.61","43911.36","7.97"
"2.28087E+15","2941.80","37060.68","7.94"
"3.05109E+13","3455.46","43599.68","7.93"
"3.54169E+15","3178.15","40063.44","7.93"
"6.01171E+15","3641.87","45961.73","7.92"
"3.53161E+15","3152.16","40076.39","7.87"
"5.70273E+11","3400.63","43243.83","7.86"
"6.30413E+11","2865.36","36475.41","7.86"
"6.52696E+15","3553.66","45223.73","7.86"
"4.02561E+15","9548.30","121772.68","7.84"
"4.33423E+15","13459.55","171822.36","7.83"
"3.59924E+15","6139.69","78481.41","7.82"
"3.54667E+15","5539.50","70972.19","7.81"
"2.13199E+14","4818.38","61671.35","7.81"
"4.30663E+12","7387.25","94612.56","7.81"
"4.58513E+12","8423.80","108223.27","7.78"
"3.0427E+13","7234.44","93013.27","7.78"
"4.16939E+12","9052.21","116775.85","7.75"
"6.01139E+15","15880.01","204958.28","7.75"
"4.42608E+18","2910.69","37604.38","7.74"
"4.9147E+15","3022.44","39064.67","7.74"
"3.77027E+14","14560.95","188772.67","7.71"
"4.89707E+18","6551.75","85405.26","7.67"
"4.69816E+15","3031.37","39498.03","7.67"
"2.13127E+14","8922.42","116391.72","7.67"
"3.4236E+14","3432.15","44853.45","7.65"
"3.56542E+15","6657.30","86982.62","7.65"
"3.05016E+13","11414.58","149752.22","7.62"
"6.52678E+15","3737.70","49131.91","7.61"
"6.59207E+15","4565.02","60060.98","7.60"
"6.53844E+15","22301.01","294085.19","7.58"
"4.13446E+15","3591.21","47593.45","7.55"
"3.61926E+13","4255.74","56507.48","7.53"
"6.56446E+15","2750.22","36550.47","7.52"
"4.58493E+18","12728.49","169544.44","7.51"
"6.52318E+15","3127.73","41641.79","7.51"
"4.89042E+18","8267.19","110403.14","7.49"
"2.13107E+14","4584.27","61309.19","7.48"
"3.58329E+15","5428.62","72620.43","7.48"
"6.76246E+11","6954.61","93242.24","7.46"
"4.76012E+12","3065.21","41081.94","7.46"
"3.53472E+15","5498.58","73660.57","7.46"
"3.65815E+13","3073.85","41393.21","7.43"
"3.57298E+15","2891.70","38979.27","7.42"
"3.5469E+15","12069.64","163145.40","7.40"
"4.42781E+12","6619.06","89406.39","7.40"
"4.39668E+12","3285.27","44372.93","7.40"
"3.5934E+15","3104.98","42029.67","7.39"
"3.00115E+13","4369.09","59221.70","7.38"
"3.54216E+15","2869.79","38942.76","7.37"
"6.76373E+11","13620.62","185175.31","7.36"
"4.961E+15","5740.94","78724.13","7.29"
"3.68903E+13","2602.66","35787.65","7.27"
"3.75083E+14","10336.86","142645.73","7.25"
"6.59725E+15","3026.57","41747.62","7.25"
"4.02622E+12","4304.36","59394.55","7.25"
"60495593109","3035.57","41909.11","7.24"
"60427851591","5143.91","71021.76","7.24"
"1.80095E+14","3479.22","48254.65","7.21"
"3.56609E+15","25367.54","352691.62","7.19"
"3.52706E+15","3470.40","48393.86","7.17"
"3.76944E+14","3095.08","43335.98","7.14"
"4.56189E+12","6265.55","87936.86","7.13"
"3.78279E+14","9138.62","128824.71","7.09"
"3.56034E+15","2502.13","35283.27","7.09"
"3.03738E+13","3204.92","45293.89","7.08"
"4.98032E+18","2781.73","39464.06","7.05"
"4.51835E+15","5529.75","78643.58","7.03"
"3.43819E+14","5629.00","80044.48","7.03"
"2.13148E+14","12205.77","173809.88","7.02"
"6.01149E+15","8036.23","114518.55","7.02"
"3.75905E+14","5802.50","82734.27","7.01"
"6.30471E+11","4346.85","62044.83","7.01"
"3.05702E+13","3102.11","44388.95","6.99"
"4.22035E+12","9378.10","134349.57","6.98"
"2.28406E+15","3469.02","49790.34","6.97"
"4.90663E+18","12109.30","173922.34","6.96"
"2.13103E+14","8211.33","117972.57","6.96"
"4.53857E+12","8324.79","119620.91","6.96"
"3.41283E+14","5384.64","77381.68","6.96"
"3.75975E+14","10482.87","150681.98","6.96"
"4.1714E+15","2812.79","40473.33","6.95"
"3.57303E+15","10429.02","150222.64","6.94"
"4.68274E+15","2821.60","40710.00","6.93"
"6.54767E+15","8304.65","120362.50","6.90"
"2.22767E+15","3941.68","57184.24","6.89"
"2.71402E+15","3438.63","50153.64","6.86"
"3.55151E+15","2255.86","33010.14","6.83"
"6.54473E+15","7894.58","115807.19","6.82"
"3.05182E+13","10453.54","153657.93","6.80"
"4.72724E+15","8659.10","127456.63","6.79"
"3.57579E+15","14596.43","215337.81","6.78"
"6.01198E+15","3294.45","48672.83","6.77"
"3.52559E+15","12760.76","188940.36","6.75"
"3.59801E+15","8403.30","124781.26","6.73"
"3.74125E+14","8679.69","129394.42","6.71"
"4.14964E+12","10044.64","149658.75","6.71"
"3.03641E+13","7357.70","109877.26","6.70"
"2.26674E+15","9946.88","149030.62","6.67"
"3.5677E+15","10488.87","157468.48","6.66"
"2.2241E+15","2652.02","39940.29","6.64"
"4.41058E+18","5650.16","85069.04","6.64"
"6.76327E+11","3974.35","59860.88","6.64"
"3.57779E+15","5222.60","78831.10","6.63"
"4.47157E+12","5659.91","86021.72","6.58"
"6.59394E+15","3775.59","57348.20","6.58"
"6.01165E+15","14081.26","214612.65","6.56"
"6.76292E+11","2907.78","44369.60","6.55"
"2.13153E+14","5608.12","85762.86","6.54"
"3.0082E+13","8778.76","134398.06","6.53"
"3.77896E+14","6177.20","94585.00","6.53"
"4.62356E+12","11188.43","171541.20","6.52"
"4.6817E+12","12322.33","189290.89","6.51"
"1.80017E+14","5390.60","82870.96","6.50"
"2.45083E+15","5096.70","78591.82","6.49"
"4.0666E+12","7819.34","120741.00","6.48"
"4.87836E+15","2606.43","40222.36","6.48"
"4.78991E+15","3699.17","57095.69","6.48"
"6.7631E+11","4797.25","74125.88","6.47"
"3.57758E+15","15082.10","233597.39","6.46"
"4.37926E+18","7747.35","120101.42","6.45"
"6.76174E+11","8245.85","128042.25","6.44"
"3.75237E+14","3092.46","48263.06","6.41"
"3.5776E+15","2323.01","36318.95","6.40"
"4.75604E+18","2516.08","39292.05","6.40"
"3.76013E+14","5331.37","83498.27","6.39"
"3.03762E+13","5478.21","85749.81","6.39"
"4.71574E+18","7426.64","116804.65","6.36"
"4.71346E+15","4060.24","63816.97","6.36"
"3.5433E+15","7379.95","116242.33","6.35"
"4.27916E+12","4509.88","71046.47","6.35"
"6.59789E+15","10346.91","162832.63","6.35"
"4.74071E+15","5704.17","90414.15","6.31"
"4.46978E+18","8580.63","136096.78","6.30"
"3.57339E+15","4633.14","73683.08","6.29"
"4.50914E+15","10119.35","161031.46","6.28"
"3.60781E+13","9641.50","153457.37","6.28"
"3.75248E+14","9631.56","154150.04","6.25"
"4.40001E+18","9462.74","151489.81","6.25"
"4.5506E+15","8359.61","134175.60","6.23"
"3.55744E+15","2993.65","48094.88","6.22"
"4.71083E+18","7671.17","123628.03","6.21"
"4.49249E+15","4085.81","65990.60","6.19"
"3.5607E+15","7335.56","118563.22","6.19"
"5.1549E+15","3642.01","58851.36","6.19"
"4.73685E+18","9650.86","155931.88","6.19"
"4.81079E+18","6668.16","108132.10","6.17"
"3.5149E+15","8410.97","136350.28","6.17"
"3.72509E+14","21552.88","349773.96","6.16"
"6.01138E+15","9982.16","162251.30","6.15"
"4.22973E+15","6584.00","107114.86","6.15"
"4.98113E+12","7484.25","121639.67","6.15"
"3.56484E+15","9731.11","158835.02","6.13"
"6.30423E+11","13207.48","215755.29","6.12"
"3.52754E+15","10873.63","177748.04","6.12"
"2.26822E+15","3416.68","55786.75","6.12"
"3.03447E+13","4735.42","77385.09","6.12"
"4.56137E+15","3994.73","65329.64","6.11"
"3.54511E+15","12149.72","199712.43","6.08"
"6.57356E+15","7733.25","127265.50","6.08"
"3.58379E+15","8905.41","146830.99","6.07"
"4.90468E+15","14111.11","232464.05","6.07"
"4.50145E+15","3768.54","62313.25","6.05"
"6.59286E+15","6282.61","103958.11","6.04"
"3.56025E+15","2485.09","41156.92","6.04"
"6.50131E+15","3301.22","54713.60","6.03"
"4.00377E+15","5431.06","90281.13","6.02"
"6.0116E+15","5332.23","88583.86","6.02"
"5.81686E+11","11541.88","191687.65","6.02"
"5.60881E+11","2513.74","41848.29","6.01"
"6.39024E+11","11148.89","185539.26","6.01"
"4.59929E+15","5785.89","96826.08","5.98"
"4.64289E+12","9299.41","155867.41","5.97"
"4.74288E+18","5945.62","99770.45","5.96"
"1.80081E+14","4364.29","73351.95","5.95"
"3.7493E+14","12266.96","206171.17","5.95"
"6.76314E+11","3572.22","60130.91","5.94"
"3.61539E+13","5533.34","93300.26","5.93"
"3.89477E+13","6069.15","102483.54","5.92"
"3.5239E+15","9278.99","156858.77","5.92"
"2.29116E+15","7722.00","130950.97","5.90"
"3.43464E+14","7662.05","129849.02","5.90"
"3.58926E+15","12118.91","206578.96","5.87"
"4.42878E+18","5571.33","95310.95","5.85"
"6.5022E+15","3774.05","64814.27","5.82"
"4.91719E+15","4376.00","75631.53","5.79"
"6.0111E+15","10008.54","173897.74","5.76"
"3.02906E+13","7249.49","125871.09","5.76"
"4.90063E+12","11167.47","193832.10","5.76"
"2.35628E+15","4356.95","75830.17","5.75"
"3.51753E+15","6394.12","111185.25","5.75"
"2.72089E+15","4908.86","85465.91","5.74"
"6.39077E+11","2087.87","36414.42","5.73"
"3.51138E+15","10726.70","187714.79","5.71"
"5.7386E+11","8775.33","153630.48","5.71"
"3.56418E+15","4792.43","84213.55","5.69"
"3.41546E+14","7189.70","126468.89","5.68"
"4.58766E+18","15855.55","279746.91","5.67"
"4.56155E+12","10755.30","189654.00","5.67"
"6.76195E+11","8236.58","146313.51","5.63"
"6.01163E+15","4681.27","83279.25","5.62"
"4.12803E+15","6760.56","120557.04","5.61"
"4.99626E+15","4037.14","71996.62","5.61"
"3.03284E+13","6891.00","122906.15","5.61"
"3.55968E+15","9810.43","175559.73","5.59"
"6.76369E+11","8431.55","150923.13","5.59"
"2.13186E+14","3655.31","65362.82","5.59"
"6.76299E+11","5768.82","103473.47","5.58"
"4.47432E+15","6789.56","121744.97","5.58"
"3.51487E+15","9149.07","164354.03","5.57"
"4.60707E+15","5535.91","99580.00","5.56"
"3.54116E+15","12795.74","230057.95","5.56"
"4.30816E+15","3604.65","64821.33","5.56"
"3.5983E+15","8862.07","159582.80","5.55"
"6.76102E+11","13524.68","243738.05","5.55"
"4.42815E+15","4230.75","76266.57","5.55"
"3.52055E+15","5366.60","96751.14","5.55"
"3.48379E+14","4547.34","82134.84","5.54"
"5.03848E+11","6640.53","120042.47","5.53"
"3.57628E+15","3592.20","64929.22","5.53"
"4.17069E+15","10659.32","192853.73","5.53"
"6.76234E+11","3377.83","61337.39","5.51"
"4.30248E+15","17556.46","318908.47","5.51"
"5.45678E+15","8555.92","156093.28","5.48"
"4.10316E+12","3553.63","65187.74","5.45"
"4.2205E+18","4387.77","80447.15","5.45"
"6.76276E+11","3793.74","69857.15","5.43"
"6.59674E+15","4858.34","89527.88","5.43"
"1.80067E+14","9117.39","167844.34","5.43"
"4.95258E+15","4642.62","85494.69","5.43"
"3.54757E+15","6621.83","122161.93","5.42"
"4.36401E+15","10064.77","186476.53","5.40"
"4.70899E+15","8090.59","150289.78","5.38"
"3.55865E+15","6717.77","124771.04","5.38"
"6.53965E+15","1975.04","36803.78","5.37"
"4.1781E+15","8961.55","166864.37","5.37"
"3.55055E+15","3272.80","61094.67","5.36"
"3.85443E+13","2861.87","53511.34","5.35"
"2.45408E+15","3553.78","66735.80","5.33"
"1.80047E+14","11838.88","222004.36","5.33"
"3.40103E+14","4535.57","85292.46","5.32"
"3.72246E+14","6525.95","123054.17","5.30"
"2.51231E+15","4422.39","83456.28","5.30"
"3.4506E+14","3970.48","74939.93","5.30"
"3.55482E+15","3451.82","65096.45","5.30"
"6.01192E+15","4493.29","85173.81","5.28"
"6.01135E+15","10248.94","194179.84","5.28"
"5.10481E+15","6123.94","115922.59","5.28"
"4.00605E+12","4301.39","81740.24","5.26"
"3.02704E+13","11316.28","215754.90","5.24"
"2.222E+15","5635.89","107680.94","5.23"
"4.24495E+18","3309.05","63423.77","5.22"
"2.13191E+14","4668.26","90151.23","5.18"
"3.05606E+13","6171.24","119086.42","5.18"
