cc_num,high_velocity_days
38199000000000.0,10
4826660000000000.0,10
4260130000000.0,9
4328930000000000.0,9
375083000000000.0,9
3533010000000000.0,9
375534000000000.0,9
213126000000000.0,9
571844000000.0,9
4173950000000000.0,9
3506590000000000.0,9
4.0891e+18,8
4128030000000000.0,8
4427810000000.0,8
2286240000000000.0,8
4.95859e+18,7
4191110000000000.0,7
38057500000000.0,7
676299000000.0,7
4683640000000.0,7
30560600000000.0,7
676174000000.0,7
372246000000000.0,7
577589000000.0,7
4.48826e+18,7
343669000000000.0,7
4169760000000000.0,7
343464000000000.0,7
213191000000000.0,7
3518760000000000.0,7
3523900000000000.0,7
3593120000000000.0,6
4384910000000000.0,6
4607070000000000.0,6
4482430000000000.0,6
30328400000000.0,6
376657000000000.0,6
6554250000000000.0,6
3519610000000000.0,6
5596350000000000.0,6
213162000000000.0,6
378279000000000.0,6
6011330000000000.0,6
2254800000000000.0,6
213175000000000.0,6
2229380000000000.0,6
4277230000000000.0,5
30263500000000.0,5
4981130000000.0,5
372382000000000.0,5
4610050000000000.0,5
6547670000000000.0,5
5501080000000000.0,5
4066600000000.0,5
4.71574e+18,5
2288810000000000.0,5
370612000000000.0,5
4342530000000000.0,5
4186530000000.0,5
675946000000.0,5
501899000000.0,5
4119760000000000.0,5
2713910000000000.0,5
374125000000000.0,5
3547560000000000.0,5
583699000000.0,5
3575540000000000.0,5
4926380000000000.0,5
180067000000000.0,5
630426000000.0,5
30290600000000.0,5
180073000000000.0,5
3552580000000000.0,5
4.89042e+18,5
6592860000000000.0,5
6573560000000000.0,5
4474320000000000.0,5
4783230000000.0,5
6593250000000000.0,5
374656000000000.0,4
4294040000000000.0,4
4.5031e+18,4
4169390000000.0,4
2348250000000000.0,4
4550600000000000.0,4
4.56e+18,4
2305340000000000.0,4
2291160000000000.0,4
2269770000000000.0,4
36721400000000.0,4
6012000000000000.0,4
4.50254e+18,4
30143500000000.0,4
38947700000000.0,4
3547570000000000.0,4
6595970000000000.0,4
30364100000000.0,4
3540210000000000.0,4
213125000000000.0,4
4800400000000000.0,4
4.71083e+18,4
4613310000000.0,4
5388660000000000.0,4
4010000000000000.0,4
30230500000000.0,4
4060580000000000.0,4
4067140000000000.0,4
6511350000000000.0,4
5559860000000000.0,4
3502380000000000.0,4
344342000000000.0,4
4229730000000000.0,4
180018000000000.0,4
6011250000000000.0,3
4874020000000000.0,3
4.7614e+18,3
4599290000000000.0,3
4935860000000000.0,3
60416207185.0,3
341546000000000.0,3
3561960000000000.0,3
378905000000000.0,3
3559680000000000.0,3
30442400000000.0,3
3549200000000000.0,3
213148000000000.0,3
213196000000000.0,3
3524570000000000.0,3
3521820000000000.0,3
60422928733.0,3
3504180000000000.0,3
342351000000000.0,3
343746000000000.0,3
2706980000000000.0,3
2576710000000000.0,3
345832000000000.0,3
375768000000000.0,3
2233880000000000.0,3
3560700000000000.0,3
377655000000000.0,3
4025610000000000.0,3
4423490000000000.0,3
4538570000000.0,3
30103100000000.0,3
501803000000.0,3
30150700000000.0,3
4220350000000.0,3
581293000000.0,3
4.81079e+18,2
342320000000000.0,2
4247920000000.0,2
561943000000.0,2
4585130000000.0,2
349613000000000.0,2
60490596305.0,2
375849000000000.0,2
6011490000000000.0,2
213200000000000.0,2
4.35579e+18,2
30267000000000.0,2
30082000000000.0,2
6540980000000000.0,2
213113000000000.0,2
213103000000000.0,2
4.0401e+18,2
38797400000000.0,2
30135200000000.0,2
30153500000000.0,2
4.41058e+18,2
30235300000000.0,2
4.37926e+18,2
4.29274e+18,2
30343300000000.0,2
4.21008e+18,2
3514900000000000.0,2
4239550000000000.0,2
2475090000000000.0,2
4683520000000000.0,2
3538520000000000.0,2
4048510000000000.0,2
3533800000000000.0,2
4178100000000000.0,2
3591920000000000.0,2
4707870000000000.0,2
3558650000000000.0,2
3587040000000000.0,2
3568740000000000.0,2
4777070000000000.0,1
4740710000000000.0,1
4593570000000.0,1
30143700000000.0,1
4727240000000000.0,1
3599240000000000.0,1
30093000000000.0,1
4710790000000000.0,1
4.39097e+18,1
3585050000000000.0,1
4788100000000.0,1
3577790000000000.0,1
379897000000000.0,1
4471570000000.0,1
3563840000000000.0,1
4.74288e+18,1
4195740000000.0,1
4026220000000.0,1
676282000000.0,1
676149000000.0,1
675910000000.0,1
639030000000.0,1
4260060000000000.0,1
4266200000000000.0,1
4.89707e+18,1
501851000000.0,1
4344960000000000.0,1
4365380000000000.0,1
4.98985e+18,1
4.31137e+18,1
4.22599e+18,1
30371000000000.0,1
3517530000000000.0,1
3528230000000000.0,1
3520550000000000.0,1
340951000000000.0,1
341283000000000.0,1
341543000000000.0,1
6506980000000000.0,1
4451440000000000.0,1
5580560000000000.0,1
3562680000000000.0,1
2719500000000000.0,1
347073000000000.0,1
348379000000000.0,1
2285070000000000.0,1
6011310000000000.0,1
2248350000000000.0,1
2222000000000000.0,1
213156000000000.0,1
6550400000000000.0,1
213127000000000.0,1
4969860000000000.0,1
377550000000000.0,1
30427000000000.0,1
4.2205e+18,1
4917190000000000.0,1
4.20811e+18,1
3546670000000000.0,1
4.102e+18,1
180017000000000.0,1
180046000000000.0,1
4.04504e+18,1
4952580000000000.0,1
180081000000000.0,1
6596740000000000.0,1
180099000000000.0,1
4961000000000000.0,1
4509920000000000.0,1
