cc_num,fraud_pre,fraud_post,fraud_delta
213200000000000.0,0.0,0.87,0.87
30267000000000.0,0.0,0.87,0.87
3545110000000000.0,0.0,0.86,0.86
4173950000000000.0,0.0,0.85,0.85
30235400000000.0,0.0,0.84,0.84
4.90663e+18,0.0,0.84,0.84
3540080000000000.0,0.0,0.84,0.84
6011400000000000.0,0.0,0.83,0.83
4.95859e+18,0.0,0.81,0.81
3593120000000000.0,0.0,0.79,0.79
630469000000.0,0.0,0.78,0.78
30238800000000.0,0.0,0.78,0.78
180011000000000.0,0.0,0.77,0.77
4170690000000000.0,0.0,0.76,0.76
374930000000000.0,0.0,0.76,0.76
377027000000000.0,0.0,0.75,0.75
4634960000000000.0,0.0,0.75,0.75
4509140000000000.0,0.0,0.75,0.75
3583790000000000.0,0.0,0.75,0.75
213157000000000.0,0.0,0.72,0.72
342952000000000.0,0.0,0.72,0.72
4716560000000000.0,0.0,0.71,0.71
3596360000000000.0,0.0,0.7,0.7
4.86131e+18,0.0,0.68,0.68
2235610000000000.0,0.0,0.65,0.65
4423490000000000.0,0.0,0.65,0.65
4.64685e+18,0.0,0.62,0.62
4003990000000000.0,0.0,0.62,0.62
4005680000000000.0,0.0,0.61,0.61
2286240000000000.0,0.0,0.6,0.6
4570640000000000.0,0.0,0.57,0.57
3577580000000000.0,0.0,0.57,0.57
4755700000000.0,0.0,0.55,0.55
6011100000000000.0,0.0,0.54,0.54
3589290000000000.0,0.0,0.52,0.52
4169390000000.0,0.0,0.51,0.51
372509000000000.0,0.0,0.5,0.5
4981130000000.0,0.0,0.5,0.5
4671730000000000.0,0.0,0.48,0.48
30551600000000.0,0.0,0.47,0.47
630423000000.0,0.0,0.44,0.44
6011390000000000.0,0.27,0.69,0.42
2254800000000000.0,0.0,0.38,0.38
3546670000000000.0,0.0,0.38,0.38
36913600000000.0,0.0,0.37,0.37
2712210000000000.0,0.0,0.32,0.32
4.5031e+18,0.0,0.26,0.26
4514240000000000.0,0.0,0.19,0.19
3560730000000000.0,0.0,0.19,0.19
3518230000000000.0,0.0,0.16,0.16
213113000000000.0,0.72,0.88,0.16
6011890000000000.0,0.0,0.13,0.13
6011150000000000.0,0.72,0.77,0.05
3538520000000000.0,0.0,0.0,0.0
4010000000000000.0,0.0,0.0,0.0
3559720000000000.0,0.0,0.0,0.0
3560320000000000.0,0.0,0.0,0.0
30343300000000.0,0.0,0.0,0.0
3598010000000000.0,0.0,0.0,0.0
3560700000000000.0,0.0,0.0,0.0
639096000000.0,0.0,0.0,0.0
30153500000000.0,0.0,0.0,0.0
30176000000000.0,0.0,0.0,0.0
2280870000000000.0,0.0,0.0,0.0
30446000000000.0,0.0,0.0,0.0
3561210000000000.0,0.0,0.0,0.0
639077000000.0,0.0,0.0,0.0
2285070000000000.0,0.0,0.0,0.0
30150700000000.0,0.0,0.0,0.0
2229820000000000.0,0.0,0.0,0.0
2231190000000000.0,0.0,0.0,0.0
3592330000000000.0,0.0,0.0,0.0
4.98032e+18,0.0,0.0,0.0
4158760000000000.0,0.0,0.0,0.0
30143500000000.0,0.0,0.0,0.0
3549200000000000.0,0.0,0.0,0.0
4147610000000000.0,0.0,0.0,0.0
4.31137e+18,0.0,0.0,0.0
4.40001e+18,0.0,0.0,0.0
4.41058e+18,0.0,0.0,0.0
4873780000000000.0,0.0,0.0,0.0
4.50254e+18,0.0,0.0,0.0
379141000000000.0,0.0,0.0,0.0
379897000000000.0,0.0,0.0,0.0
2222000000000000.0,0.0,0.0,0.0
675946000000.0,0.0,0.0,0.0
3558650000000000.0,0.0,0.0,0.0
2224100000000000.0,0.0,0.0,0.0
3559160000000000.0,0.0,0.0,0.0
4.85549e+18,0.0,0.0,0.0
3568260000000000.0,0.0,0.0,0.0
5501080000000000.0,0.0,0.0,0.0
2296010000000000.0,0.0,0.0,0.0
3577600000000000.0,0.0,0.0,0.0
3565410000000000.0,0.0,0.0,0.0
3502090000000000.0,0.0,0.0,0.0
3566000000000000.0,0.0,0.0,0.0
3504180000000000.0,0.0,0.0,0.0
3506590000000000.0,0.0,0.0,0.0
3576140000000000.0,0.0,0.0,0.0
3521820000000000.0,0.0,0.0,0.0
3576020000000000.0,0.0,0.0,0.0
3513290000000000.0,0.0,0.0,0.0
6011250000000000.0,0.0,0.0,0.0
6011330000000000.0,0.0,0.0,0.0
567868000000.0,0.0,0.0,0.0
3573030000000000.0,0.0,0.0,0.0
3566880000000000.0,0.0,0.0,0.0
3572980000000000.0,0.0,0.0,0.0
3567700000000000.0,0.0,0.0,0.0
580954000000.0,0.0,0.0,0.0
4.662e+18,0.0,0.0,0.0
4.65318e+18,0.0,0.0,0.0
4.81079e+18,0.0,0.0,0.0
4.537e+18,0.0,0.0,0.0
3568740000000000.0,0.0,0.0,0.0
2318060000000000.0,0.0,0.0,0.0
4.58493e+18,0.0,0.0,0.0
4.81084e+18,0.0,0.0,0.0
630425000000.0,0.0,0.0,0.0
2576710000000000.0,0.0,0.0,0.0
3583640000000000.0,0.0,0.0,0.0
565399000000.0,0.0,0.0,0.0
30408300000000.0,0.0,0.0,0.0
2706980000000000.0,0.0,0.0,0.0
3583290000000000.0,0.0,0.0,0.0
3528410000000000.0,0.0,0.0,0.0
3582750000000000.0,0.0,0.0,0.0
3527540000000000.0,0.0,0.0,0.0
4158950000000000.0,0.0,0.0,0.0
3531610000000000.0,0.0,0.0,0.0
180018000000000.0,0.0,0.0,0.0
4.46978e+18,0.0,0.0,0.0
6592860000000000.0,0.0,0.0,0.0
6539650000000000.0,0.0,0.0,0.0
4640400000000.0,0.0,0.0,0.0
342320000000000.0,0.0,0.0,0.0
676373000000.0,0.0,0.0,0.0
4900630000000.0,0.0,0.0,0.0
4562830000000.0,0.0,0.0,0.0
4777070000000000.0,0.0,0.0,0.0
4538570000000.0,0.0,0.0,0.0
36722700000000.0,0.0,0.0,0.0
348379000000000.0,0.0,0.0,0.0
4501450000000000.0,0.0,0.0,0.0
4482430000000000.0,0.0,0.0,0.0
4986930000000000.0,0.0,0.0,0.0
345832000000000.0,0.0,0.0,0.0
4914700000000000.0,0.0,0.0,0.0
4452370000000000.0,0.0,0.0,0.0
5289290000000000.0,0.0,0.0,0.0
4433090000000000.0,0.0,0.0,0.0
36890300000000.0,0.0,0.0,0.0
213199000000000.0,0.0,0.0,0.0
6535330000000000.0,0.0,0.0,0.0
4610060000000000.0,0.0,0.0,0.0
213107000000000.0,0.0,0.0,0.0
6526450000000000.0,0.0,0.0,0.0
4708990000000000.0,0.0,0.0,0.0
4783230000000.0,0.0,0.0,0.0
4681600000000000.0,0.0,0.0,0.0
213153000000000.0,0.0,0.0,0.0
213155000000000.0,0.0,0.0,0.0
4951650000000000.0,0.0,0.0,0.0
4969860000000000.0,0.0,0.0,0.0
213164000000000.0,0.0,0.0,0.0
4651010000000000.0,0.0,0.0,0.0
213175000000000.0,0.0,0.0,0.0
30026800000000.0,0.0,0.0,0.0
4746000000000.0,0.0,0.0,0.0
180073000000000.0,0.0,0.0,0.0
213186000000000.0,0.0,0.0,0.0
213191000000000.0,0.0,0.0,0.0
4425160000000000.0,0.0,0.0,0.0
6515070000000000.0,0.0,0.0,0.0
36078100000000.0,0.0,0.0,0.0
4344960000000000.0,0.0,0.0,0.0
30263500000000.0,0.0,0.0,0.0
30103100000000.0,0.0,0.0,0.0
4841310000000000.0,0.0,0.0,0.0
375248000000000.0,0.0,0.0,0.0
4.20811e+18,0.0,0.0,0.0
5388660000000000.0,0.0,0.0,0.0
4334230000000000.0,0.0,0.0,0.0
4179720000000000.0,0.0,0.0,0.0
4178100000000000.0,0.0,0.0,0.0
4.0891e+18,0.0,0.0,0.0
4239440000000.0,0.0,0.0,0.0
5359540000000000.0,0.0,0.0,0.0
374822000000000.0,0.0,0.0,0.0
4957920000000.0,0.0,0.0,0.0
4.12873e+18,0.0,0.0,0.0
4.0401e+18,0.0,0.0,0.0
4260000000000.0,0.0,0.0,0.0
4.04504e+18,0.0,0.0,0.0
348790000000000.0,0.0,0.0,0.0
4440580000000.0,0.0,0.0,0.0
4.2205e+18,0.0,0.0,0.0
6011720000000000.0,0.0,0.0,0.0
4171400000000000.0,0.0,0.0,0.0
4384910000000000.0,0.0,0.0,0.0
4186530000000.0,0.0,0.0,0.0
3576430000000000.0,0.09,0.0,-0.09
6011110000000000.0,0.09,0.0,-0.09
4809700000000.0,0.14,0.0,-0.14
213142000000000.0,0.14,0.0,-0.14
3566090000000000.0,0.14,0.0,-0.14
4908850000000000.0,0.14,0.0,-0.14
3551220000000000.0,0.14,0.0,-0.14
346273000000000.0,0.16,0.0,-0.16
180094000000000.0,0.18,0.0,-0.18
4837000000000000.0,0.19,0.0,-0.19
4069980000000000.0,0.2,0.0,-0.2
4.79263e+18,0.22,0.0,-0.22
4.58766e+18,0.25,0.0,-0.25
4862290000000.0,0.26,0.0,-0.26
3521420000000000.0,0.27,0.0,-0.27
213179000000000.0,0.27,0.0,-0.27
3546900000000000.0,0.27,0.0,-0.27
3513620000000000.0,0.28,0.0,-0.28
630442000000.0,0.28,0.0,-0.28
372520000000000.0,0.29,0.0,-0.29
30518200000000.0,0.95,0.64,-0.31
6011500000000000.0,0.31,0.0,-0.31
38580500000000.0,0.32,0.0,-0.32
180047000000000.0,0.92,0.59,-0.33
6011860000000000.0,0.33,0.0,-0.33
3564840000000000.0,0.34,0.0,-0.34
5456780000000000.0,0.34,0.0,-0.34
2248740000000000.0,0.34,0.0,-0.34
6511350000000000.0,0.35,0.0,-0.35
370877000000000.0,0.36,0.0,-0.36
6011650000000000.0,0.36,0.0,-0.36
3590740000000000.0,0.36,0.0,-0.36
4681700000000.0,0.37,0.0,-0.37
30235000000000.0,0.38,0.0,-0.38
3598220000000000.0,0.39,0.0,-0.39
676102000000.0,0.39,0.0,-0.39
3553630000000000.0,0.4,0.0,-0.4
30273000000000.0,0.4,0.0,-0.4
584674000000.0,0.41,0.0,-0.41
6011370000000000.0,0.43,0.0,-0.43
4464460000000.0,0.44,0.0,-0.44
30328400000000.0,0.44,0.0,-0.44
571365000000.0,0.44,0.0,-0.44
4561550000000.0,0.44,0.0,-0.44
342351000000000.0,0.45,0.0,-0.45
630452000000.0,0.45,0.0,-0.45
4.68915e+18,0.45,0.0,-0.45
3533010000000000.0,0.46,0.0,-0.46
30118400000000.0,0.47,0.0,-0.47
30407700000000.0,0.47,0.0,-0.47
180085000000000.0,1.02,0.55,-0.47
3525590000000000.0,0.47,0.0,-0.47
377114000000000.0,0.47,0.0,-0.47
3560800000000000.0,0.48,0.0,-0.48
4377340000000000.0,0.48,0.0,-0.48
2264940000000000.0,0.48,0.0,-0.48
4586810000000000.0,0.49,0.0,-0.49
3575790000000000.0,0.49,0.0,-0.49
503874000000.0,0.49,0.0,-0.49
345934000000000.0,0.49,0.0,-0.49
4149640000000.0,0.49,0.0,-0.49
213120000000000.0,0.51,0.0,-0.51
4.95683e+18,0.52,0.0,-0.52
4839620000000000.0,0.52,0.0,-0.52
6593250000000000.0,0.52,0.0,-0.52
4.99235e+18,0.52,0.0,-0.52
36485900000000.0,0.52,0.0,-0.52
4.31958e+18,0.53,0.0,-0.53
4155020000000000.0,0.53,0.0,-0.53
2254920000000000.0,0.53,0.0,-0.53
180036000000000.0,0.53,0.0,-0.53
581686000000.0,0.53,0.0,-0.53
3533740000000000.0,0.53,0.0,-0.53
4939980000000000.0,0.54,0.0,-0.54
2252060000000000.0,0.54,0.0,-0.54
213194000000000.0,0.54,0.0,-0.54
4642260000000000.0,0.54,0.0,-0.54
4707870000000000.0,0.54,0.0,-0.54
180043000000000.0,0.54,0.0,-0.54
38588500000000.0,0.54,0.0,-0.54
376028000000000.0,0.54,0.0,-0.54
630485000000.0,0.54,0.0,-0.54
3523900000000000.0,0.55,0.0,-0.55
4474320000000000.0,0.55,0.0,-0.55
676195000000.0,0.55,0.0,-0.55
4277230000000000.0,0.55,0.0,-0.55
213125000000000.0,0.55,0.0,-0.55
2720010000000000.0,0.55,0.0,-0.55
3512370000000000.0,0.56,0.0,-0.56
30561200000000.0,0.58,0.0,-0.58
3541160000000000.0,0.59,0.0,-0.59
3543590000000000.0,0.59,0.0,-0.59
38052000000000.0,0.59,0.0,-0.59
6011350000000000.0,0.59,0.0,-0.59
3501510000000000.0,0.59,0.0,-0.59
4149240000000000.0,0.59,0.0,-0.59
3511380000000000.0,0.6,0.0,-0.6
4998110000000000.0,0.6,0.0,-0.6
4683640000000.0,0.6,0.0,-0.6
6011680000000000.0,0.61,0.0,-0.61
30030400000000.0,0.61,0.0,-0.61
4328930000000000.0,0.61,0.0,-0.61
2266740000000000.0,0.61,0.0,-0.61
30428200000000.0,0.62,0.0,-0.62
4.76943e+18,0.62,0.0,-0.62
6011440000000000.0,0.62,0.0,-0.62
3547560000000000.0,0.62,0.0,-0.62
4191110000000000.0,0.62,0.0,-0.62
4342530000000000.0,0.63,0.0,-0.63
344710000000000.0,0.63,0.0,-0.63
501803000000.0,0.63,0.0,-0.63
2288810000000000.0,0.63,0.0,-0.63
5152050000000000.0,0.63,0.0,-0.63
340954000000000.0,0.64,0.0,-0.64
213127000000000.0,0.64,0.0,-0.64
38947700000000.0,0.64,0.0,-0.64
30131800000000.0,0.64,0.0,-0.64
5540640000000000.0,0.65,0.0,-0.65
377655000000000.0,0.65,0.0,-0.65
4642890000000.0,0.65,0.0,-0.65
30044300000000.0,0.65,0.0,-0.65
3595190000000000.0,0.65,0.0,-0.65
4.74288e+18,0.65,0.0,-0.65
180081000000000.0,0.67,0.0,-0.67
4302480000000000.0,0.67,0.0,-0.67
4826660000000000.0,0.67,0.0,-0.67
502050000000.0,0.67,0.0,-0.67
4.01811e+18,0.67,0.0,-0.67
373905000000000.0,0.68,0.0,-0.68
4265780000000000.0,0.68,0.0,-0.68
6597890000000000.0,0.68,0.0,-0.68
4449530000000000.0,0.68,0.0,-0.68
4364010000000000.0,0.69,0.0,-0.69
4917190000000000.0,0.69,0.0,-0.69
4.56e+18,0.7,0.0,-0.7
2283740000000000.0,0.7,0.0,-0.7
4378990000000000.0,0.7,0.0,-0.7
3531130000000000.0,0.7,0.0,-0.7
2720430000000000.0,0.7,0.0,-0.7
573860000000.0,0.71,0.0,-0.71
4683520000000000.0,0.71,0.0,-0.71
6011540000000000.0,0.71,0.0,-0.71
3585740000000000.0,0.72,0.0,-0.72
374656000000000.0,0.72,0.0,-0.72
4247920000000.0,0.72,0.0,-0.72
501899000000.0,0.72,0.0,-0.72
4610050000000000.0,0.72,0.0,-0.72
213196000000000.0,0.73,0.0,-0.73
6517220000000000.0,0.73,0.0,-0.73
375768000000000.0,0.73,0.0,-0.73
343464000000000.0,0.73,0.0,-0.73
2242540000000000.0,0.73,0.0,-0.73
4979420000000000.0,0.74,0.0,-0.74
4.102e+18,0.74,0.0,-0.74
4.89042e+18,0.74,0.0,-0.74
4.45773e+18,0.74,0.0,-0.74
4613310000000.0,0.74,0.0,-0.74
4079770000000.0,0.75,0.0,-0.75
4169760000000000.0,0.75,0.0,-0.75
3529600000000000.0,0.75,0.0,-0.75
213158000000000.0,0.75,0.0,-0.75
213148000000000.0,0.75,0.0,-0.75
180031000000000.0,0.75,0.0,-0.75
4.2929e+18,0.75,0.0,-0.75
639024000000.0,0.76,0.0,-0.76
3526830000000000.0,0.76,0.0,-0.76
30404300000000.0,0.76,0.0,-0.76
502038000000.0,0.77,0.0,-0.77
213162000000000.0,0.78,0.0,-0.78
377993000000000.0,0.79,0.0,-0.79
4428150000000000.0,0.79,0.0,-0.79
30082000000000.0,0.79,0.0,-0.79
4060580000000000.0,0.79,0.0,-0.79
6011690000000000.0,0.8,0.0,-0.8
375905000000000.0,0.8,0.0,-0.8
180067000000000.0,0.8,0.0,-0.8
4.48826e+18,0.8,0.0,-0.8
180049000000000.0,0.8,0.0,-0.8
4239550000000000.0,0.81,0.0,-0.81
6547670000000000.0,0.81,0.0,-0.81
4.09245e+18,0.81,0.0,-0.81
371226000000000.0,0.81,0.0,-0.81
60416207185.0,0.81,0.0,-0.81
3518760000000000.0,0.81,0.0,-0.81
4.73685e+18,0.82,0.0,-0.82
4450830000000000.0,0.82,0.0,-0.82
3587960000000000.0,0.82,0.0,-0.82
38057500000000.0,0.83,0.0,-0.83
571465000000.0,0.83,0.0,-0.83
38199000000000.0,0.85,0.0,-0.85
4451440000000000.0,0.86,0.0,-0.86
4.22622e+18,0.86,0.0,-0.86
2305340000000000.0,0.86,0.0,-0.86
3556610000000000.0,0.86,0.0,-0.86
4500000000000.0,0.87,0.0,-0.87
2269770000000000.0,0.87,0.0,-0.87
3552580000000000.0,0.87,0.0,-0.87
561943000000.0,0.87,0.0,-0.87
371284000000000.0,0.88,0.0,-0.88
3518670000000000.0,0.88,0.0,-0.88
377234000000000.0,0.88,0.0,-0.88
5596350000000000.0,0.89,0.0,-0.89
180065000000000.0,0.89,0.0,-0.89
3540210000000000.0,0.89,0.0,-0.89
3500970000000000.0,0.89,0.0,-0.89
38797400000000.0,0.9,0.0,-0.9
213114000000000.0,0.91,0.0,-0.91
6528910000000000.0,0.91,0.0,-0.91
4990490000000.0,0.92,0.0,-0.92
340103000000000.0,0.92,0.0,-0.92
3554850000000000.0,0.93,0.0,-0.93
4.30103e+18,0.94,0.0,-0.94
4446370000000000.0,0.94,0.0,-0.94
4587580000000000.0,0.94,0.0,-0.94
4.49791e+18,0.94,0.0,-0.94
4424340000000000.0,0.95,0.0,-0.95
4128030000000000.0,0.95,0.0,-0.95
38295600000000.0,0.95,0.0,-0.95
6011360000000000.0,0.95,0.0,-0.95
4996260000000000.0,0.95,0.0,-0.95
4451950000000000.0,0.95,0.0,-0.95
4.49745e+18,0.96,0.0,-0.96
2348250000000000.0,0.96,0.0,-0.96
372246000000000.0,0.96,0.0,-0.96
4430880000000000.0,0.96,0.0,-0.96
6592240000000000.0,0.96,0.0,-0.96
370819000000000.0,0.96,0.0,-0.96
30230500000000.0,0.96,0.0,-0.96
4.71574e+18,0.96,0.0,-0.96
30135200000000.0,0.97,0.0,-0.97
3561960000000000.0,0.97,0.0,-0.97
4800400000000000.0,0.97,0.0,-0.97
3523840000000000.0,0.97,0.0,-0.97
213126000000000.0,0.97,0.0,-0.97
4294930000000.0,0.98,0.0,-0.98
6506120000000000.0,0.98,0.0,-0.98
340951000000000.0,0.98,0.0,-0.98
371009000000000.0,0.98,0.0,-0.98
375849000000000.0,0.98,0.0,-0.98
2383460000000000.0,0.98,0.0,-0.98
4070510000000000.0,0.98,0.0,-0.98
675990000000.0,0.99,0.0,-0.99
502013000000.0,0.99,0.0,-0.99
30501600000000.0,0.99,0.0,-0.99
3502380000000000.0,1.0,0.0,-1.0
3567880000000000.0,1.0,0.0,-1.0
581293000000.0,1.01,0.0,-1.01
676299000000.0,1.01,0.0,-1.01
4550600000000000.0,1.02,0.0,-1.02
30181400000000.0,1.04,0.0,-1.04
503848000000.0,1.05,0.0,-1.05
30427000000000.0,1.05,0.0,-1.05
6540980000000000.0,1.05,0.0,-1.05
4.47716e+18,1.05,0.0,-1.05
4.2554e+18,1.05,0.0,-1.05
639030000000.0,1.05,0.0,-1.05
